,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
0,@CNN,Sat Aug 18 02:15:09 +0000 2018,A DOJ employee who heckled DHS Secretary Kirstjen Nielsen at a Washington restaurant and criticized the administrat… https://t.co/1m5ITY0M3h,-0.3612,0.143,0.857,0.0
1,@CNN,Sat Aug 18 02:07:07 +0000 2018,"Aretha Franklin was America's first real grown-up female pop star, writes Kerra L. Bolton for @CNNOpinion. Today's… https://t.co/FTXvCLUEd4",0.0,0.0,1.0,0.0
2,@CNN,Sat Aug 18 02:07:00 +0000 2018,"""Zero. I get zero dollars from consulting companies that deal with U.S. government. Are we clear?"" 

Counterterrori… https://t.co/XxcZ6eAJF6",0.0,0.0,1.0,0.0
3,@CNN,Sat Aug 18 02:00:32 +0000 2018,What’s the biggest hit you remember from the 2000s? Crank it up and get ready to explore a revolutionary decade of… https://t.co/JZ1aVKSGJs,0.3612,0.0,0.889,0.111
4,@CNN,Sat Aug 18 01:51:07 +0000 2018,"Florida's Sen. Bill Nelson said he stands by his declaration that Russians have ""already penetrated"" the state's vo… https://t.co/Rt660CiwTl",0.0,0.0,1.0,0.0
5,@CNN,Sat Aug 18 01:45:06 +0000 2018,A coroner's office confirmed three bodies found this week are those of a missing pregnant Colorado mother and her t… https://t.co/yVt7a0Mnva,-0.296,0.109,0.891,0.0
6,@CNN,Sat Aug 18 01:37:03 +0000 2018,Republican fundraiser Elliott Broidy is under federal investigation for allegedly telling foreign officials he coul… https://t.co/sv87NXNsEZ,0.0,0.0,1.0,0.0
7,@CNN,Sat Aug 18 01:32:05 +0000 2018,"A judge has ordered a mental evaluation for the man accused of starting the Holy Fire that has burned more than 22,… https://t.co/fFQ2ENgAds",-0.5574,0.195,0.805,0.0
8,@CNN,Sat Aug 18 01:21:04 +0000 2018,Special counsel Robert Mueller's team wants former Trump campaign staffer George Papadopoulos to spend 6 months in… https://t.co/1WEn7YYFLv,0.4019,0.0,0.856,0.144
9,@CNN,Sat Aug 18 01:15:03 +0000 2018,"Police in New Haven, Connecticut, have arrested one man in connection with a spate of synthetic marijuana overdoses… https://t.co/TKO3EsNDvi",-0.4767,0.154,0.846,0.0
10,@CNN,Sat Aug 18 01:00:08 +0000 2018,"The FBI has been told about a cyberattack on the campaign of David Min, a Democratic congressional candidate who lo… https://t.co/ZcMAcgleac",0.0,0.0,1.0,0.0
11,@CNN,Sat Aug 18 00:45:06 +0000 2018,Why Paul Manafort would have reason to hope for a Trump pardon | By Bernadette Meyler for @CNNOpinion… https://t.co/sEdNpUyc9V,0.6369,0.0,0.743,0.257
12,@CNN,Sat Aug 18 00:40:28 +0000 2018,"RT @AC360: ""Zero. I get zero dollars from consulting companies that deal with U.S. government. Are we clear?"" Counterterrorism analyst Phil…",0.0,0.0,1.0,0.0
