,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
0,@realDonaldTrump,Sun Aug 19 12:24:38 +0000 2018,"Study the late Joseph McCarthy, because we are now in period with Mueller and his gang that make Joseph McCarthy lo… https://t.co/n48q2wwFlC",0.0,0.0,1.0,0.0
1,@realDonaldTrump,Sun Aug 19 12:14:44 +0000 2018,Some members of the media are very Angry at the Fake Story in the New York Times. They actually called to complain… https://t.co/VhcXSWZn5Z,-0.7713,0.242,0.758,0.0
2,@realDonaldTrump,Sun Aug 19 12:06:43 +0000 2018,The Failing New York Times wrote a story that made it seem like the White House Councel had TURNED on the President… https://t.co/YRFZfG3gj2,-0.2023,0.128,0.775,0.097
3,@realDonaldTrump,Sun Aug 19 11:30:41 +0000 2018,"No Collusion and No Obstruction, except by Crooked Hillary and the Democrats. All of the resignations and corruptio… https://t.co/gMgat9Em3o",-0.6808,0.292,0.708,0.0
4,@realDonaldTrump,Sun Aug 19 11:15:12 +0000 2018,....and have demanded transparency so that this Rigged and Disgusting Witch Hunt can come to a close. So many lives… https://t.co/LCNzrYy2uD,-0.8751,0.408,0.592,0.0
5,@realDonaldTrump,Sun Aug 19 11:01:47 +0000 2018,The failing @nytimes wrote a Fake piece today implying that because White House Councel Don McGahn was giving hours… https://t.co/GBoTVbjpOo,-0.6124,0.258,0.645,0.097
6,@realDonaldTrump,Sat Aug 18 22:12:30 +0000 2018,"I allowed White House Counsel Don McGahn, and all other requested members of the White House Staff, to fully cooper… https://t.co/BmUhPb8mKI",0.0,0.0,1.0,0.0
7,@realDonaldTrump,Sat Aug 18 21:51:11 +0000 2018,The United States has ended the ridiculous 230 Million Dollar yearly development payment to Syria. Saudi Arabia and… https://t.co/48yPnmmyxK,0.0772,0.112,0.762,0.126
8,@realDonaldTrump,Sat Aug 18 19:39:35 +0000 2018,https://t.co/TfRmZA8RWQ,0.0,0.0,1.0,0.0
9,@realDonaldTrump,Sat Aug 18 13:39:28 +0000 2018,"The Economy is stronger and better than ever before. Importantly, there remains tremendous potential - it will only get better with time!",0.8748,0.0,0.607,0.393
10,@realDonaldTrump,Sat Aug 18 13:34:49 +0000 2018,Great Job  Rachel Campos-Duffy on @foxandfriends.,0.6249,0.0,0.549,0.451
11,@realDonaldTrump,Sat Aug 18 13:12:43 +0000 2018,Has anyone looked at the mistakes that John Brennan made while serving as CIA Director? He will go down as easily t… https://t.co/i7yAaSzkfL,-0.0258,0.097,0.811,0.093
12,@realDonaldTrump,Sat Aug 18 13:06:30 +0000 2018,https://t.co/5kIR5EggBp,0.0,0.0,1.0,0.0
13,@realDonaldTrump,Sat Aug 18 11:46:14 +0000 2018,"All of the fools that are so focused on looking only at Russia should start also looking in another direction, Chin… https://t.co/bjLQzomQgE",0.0429,0.12,0.753,0.127
14,@realDonaldTrump,Sat Aug 18 11:40:11 +0000 2018,"....Too many voices are being destroyed, some good &amp; some bad, and that cannot be allowed to happen. Who is making… https://t.co/gyLsNl5qs5",-0.5859,0.234,0.664,0.101
15,@realDonaldTrump,Sat Aug 18 11:32:17 +0000 2018,".....Censorship is a very dangerous thing &amp; absolutely impossible to police. If you are weeding out Fake News, ther… https://t.co/vxAbpBt8yP",-0.7574,0.276,0.724,0.0
16,@realDonaldTrump,Sat Aug 18 11:23:00 +0000 2018,Social Media is totally discriminating against Republican/Conservative voices. Speaking loudly and clearly for the… https://t.co/vBBlWKJkqF,0.4019,0.0,0.838,0.162
17,@realDonaldTrump,Sat Aug 18 01:47:44 +0000 2018,"....financial gain is a Federal Gratuity Statute Violation, Bribery Statute Violation, Honest Services Violation...… https://t.co/uTkFtI53cg",0.0772,0.277,0.433,0.29
18,@realDonaldTrump,Sat Aug 18 01:46:26 +0000 2018,"“Bruce Ohr of DOJ is in legal jeopardy, it’s astonishing that he’s still employed. Bruce &amp; Nelly Ohr’s bank account… https://t.co/oYEVFX8JGX",-0.3818,0.131,0.805,0.064
19,@realDonaldTrump,Fri Aug 17 22:29:15 +0000 2018,“Fox News has learned that Bruce Ohr wrote Christopher Steele following the firing of James Comey saying that he wa… https://t.co/S5yOcOigLU,-0.34,0.107,0.893,0.0
20,@realDonaldTrump,Fri Aug 17 21:25:20 +0000 2018,https://t.co/TmICRUV9uo,0.0,0.0,1.0,0.0
21,@realDonaldTrump,Fri Aug 17 19:25:53 +0000 2018,...I say Andrew’s was a bigger and more incompetent blunder. He should easily win his race against a Super Liberal… https://t.co/kh10WbMmOk,0.7722,0.119,0.526,0.354
22,@realDonaldTrump,Fri Aug 17 19:25:52 +0000 2018,"Which is worse, Hightax Andrew Cuomo's statement, “WE’RE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT G… https://t.co/IIsT18rz2N",0.4084,0.115,0.705,0.179
23,@realDonaldTrump,Fri Aug 17 14:17:03 +0000 2018,"When a politician admits that “We’re not going to make America great again,” there doesn’t seem to be much reason t… https://t.co/gXJ8Jw86g8",0.743,0.0,0.751,0.249
24,@realDonaldTrump,Fri Aug 17 14:10:25 +0000 2018,Wow! Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about America’s lack of greatn… https://t.co/0r4uiNFeDO,-0.3367,0.221,0.643,0.136
25,@realDonaldTrump,Fri Aug 17 12:38:52 +0000 2018,The U.S. has more than double the growth rate than it had 18 months ago.,0.3818,0.0,0.843,0.157
26,@realDonaldTrump,Fri Aug 17 12:29:24 +0000 2018,"Just announced, youth unemployment is at a 50 year low!  @foxandfriends",-0.6476,0.398,0.602,0.0
27,@realDonaldTrump,Fri Aug 17 12:10:05 +0000 2018,"....attend the big parade already scheduled at Andrews Air Force Base on a different date, &amp; go to the Paris parade… https://t.co/75YwMLArvE",0.0,0.0,1.0,0.0
28,@realDonaldTrump,Fri Aug 17 11:57:56 +0000 2018,"The local politicians who run Washington, D.C. (poorly) know a windfall when they see it. When asked to give us a p… https://t.co/1AyrZT9CEd",0.0,0.0,1.0,0.0
29,@realDonaldTrump,Fri Aug 17 11:44:01 +0000 2018,"How does a politician, Cuomo, known for pushing people and businesses out of his state, not to mention having the h… https://t.co/vWjUrZ7TAp",0.0,0.0,1.0,0.0
30,@realDonaldTrump,Fri Aug 17 11:30:55 +0000 2018,In speaking with some of the world’s top business leaders I asked what it is that would make business (jobs) even b… https://t.co/gD3CqXwud2,0.2023,0.0,0.921,0.079
31,@realDonaldTrump,Fri Aug 17 02:04:03 +0000 2018,".....released in 2017. If his statement is based on intelligence he has seen since leaving office, it constitutes a… https://t.co/KX6Fen5VzB",0.4767,0.0,0.86,0.14
32,@realDonaldTrump,Fri Aug 17 01:54:54 +0000 2018,“Director Brennan’s recent statements purport to know as fact that the Trump campaign colluded with a foreign power… https://t.co/bTdRa3WUC9,0.0,0.0,1.0,0.0
33,@realDonaldTrump,Fri Aug 17 01:49:11 +0000 2018,“....An incredibly corrupt FBI &amp; DOJ trying to steer the outcome of a Presidential Election. Brennan has gone off t… https://t.co/whxwI2Shaj,0.0,0.0,1.0,0.0
34,@realDonaldTrump,Fri Aug 17 00:56:42 +0000 2018,"How can “Senator” Richard Blumenthal, who went around for twenty years as a Connecticut politician bragging that he… https://t.co/rIfbUn9pXg",0.0,0.0,1.0,0.0
35,@realDonaldTrump,Fri Aug 17 00:45:22 +0000 2018,.@TuckerCarlson speaking of John Brennan: “How did somebody so obviously limited intellectually get to be CIA Direc… https://t.co/UfW0r0JnTg,0.1243,0.105,0.768,0.128
36,@realDonaldTrump,Thu Aug 16 23:53:55 +0000 2018,"“Very concerned about Comey’s firing, afraid they will be exposed,” said Bruce Ohr. DOJ’s Emails &amp; Notes show Bruce… https://t.co/s5pLhTApgU",-0.34,0.112,0.888,0.0
37,@realDonaldTrump,Thu Aug 16 23:45:01 +0000 2018,"“While Steele shopped the document to multiple media outlets, he also asked for help with a RUSSIAN Oligarch.”  Cat… https://t.co/2SNfIhgsGr",0.4019,0.0,0.87,0.13
38,@realDonaldTrump,Thu Aug 16 23:37:15 +0000 2018,“The FBI received documents from Bruce Ohr (of the Justice Department &amp; whose wife Nelly worked for Fusion GPS).” D… https://t.co/W5hyysCEtx,0.5267,0.0,0.855,0.145
39,@realDonaldTrump,Thu Aug 16 23:30:26 +0000 2018,Turkey has taken advantage of the United States for many years. They are now holding our wonderful Christian Pastor… https://t.co/fsXxbwME3Z,0.8176,0.0,0.667,0.333
40,@realDonaldTrump,Thu Aug 16 18:55:35 +0000 2018,Thank you for the kind words Omarosa! https://t.co/PMmNG6iIsi,0.7345,0.0,0.492,0.508
41,@realDonaldTrump,Thu Aug 16 18:43:22 +0000 2018,Great @Cabinet meeting today at the @WhiteHouse! https://t.co/RwOhQF9SEv,0.6588,0.0,0.614,0.386
42,@realDonaldTrump,Thu Aug 16 15:36:26 +0000 2018,"The Queen of Soul, Aretha Franklin, is dead. She was a great woman, with a wonderful gift from God, her voice. She will be missed!",0.7644,0.178,0.465,0.358
43,@realDonaldTrump,Thu Aug 16 14:10:17 +0000 2018,There is nothing that I would want more for our Country than true FREEDOM OF THE PRESS. The fact is that the Press… https://t.co/Q9FJViI0P0,0.8182,0.042,0.691,0.267
44,@realDonaldTrump,Thu Aug 16 14:00:00 +0000 2018,"The Boston Globe, which was sold to the the Failing New York Times for 1.3 BILLION DOLLARS (plus 800 million dollar… https://t.co/lZSInmGPTg",-0.5106,0.136,0.864,0.0
45,@realDonaldTrump,Thu Aug 16 12:50:44 +0000 2018,THE FAKE NEWS MEDIA IS THE OPPOSITION PARTY. It is very bad for our Great Country....BUT WE ARE WINNING!,0.6522,0.227,0.417,0.356
46,@realDonaldTrump,Thu Aug 16 12:43:33 +0000 2018,"Our Economy is doing better than ever. Money is pouring into our cherished DOLLAR like rarely before, companies ear… https://t.co/7y3iwMZyKr",0.8271,0.0,0.661,0.339
47,@realDonaldTrump,Thu Aug 16 02:40:42 +0000 2018,“I’d strip the whole bunch of them. They’re all corrupt. They’ve all abused their power. They’ve all betrayed the A… https://t.co/7EzDbrXrcM,-0.8074,0.278,0.722,0.0
48,@realDonaldTrump,Thu Aug 16 02:31:58 +0000 2018,"Mark Levin “When they had power they didn’t stop the Russians, the Chinese, the North Koreans, they funded the Iran… https://t.co/yFNbnxvKj5",-0.296,0.099,0.901,0.0
49,@realDonaldTrump,Thu Aug 16 02:02:16 +0000 2018,"“WE’RE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT GREAT.” Can you believe this is the Governor of the… https://t.co/DZKWvvQ6t6",0.7034,0.0,0.82,0.18
50,@realDonaldTrump,Thu Aug 16 01:14:17 +0000 2018,“Hillary Clinton clearly got a pass by the FBI. We have the unfortunate situation where they then decided they were… https://t.co/s9IIkvBxPs,-0.0772,0.127,0.759,0.114
51,@realDonaldTrump,Thu Aug 16 01:00:41 +0000 2018,"“John Brennan is a stain on the Country, we deserve better than this.” Former Secret Service Agent and author of ne… https://t.co/4SFLobNbSz",0.4404,0.0,0.873,0.127
52,@realDonaldTrump,Wed Aug 15 19:52:38 +0000 2018,"RT @Rasmussen_Poll: Today’s @realDonaldTrump approval ratings among black voters: 36% 

This day last year: 19% 

https://t.co/mazBCWoIMy @…",0.4767,0.0,0.838,0.162
53,@realDonaldTrump,Wed Aug 15 18:34:17 +0000 2018,"Chuck Schumer, I agree! https://t.co/KfoLkQU5Hv",0.4199,0.0,0.518,0.482
54,@realDonaldTrump,Wed Aug 15 15:04:16 +0000 2018,"Our Country was built on Tariffs, and Tariffs are now leading us to great new Trade Deals - as opposed to the horri… https://t.co/tnCxly8rCA",0.6249,0.0,0.843,0.157
55,@realDonaldTrump,Wed Aug 15 14:57:20 +0000 2018,"Happy Birthday to the leader of the Democrat Party, Maxine Waters!",0.7712,0.0,0.574,0.426
56,@realDonaldTrump,Wed Aug 15 14:15:07 +0000 2018,“The action (the Strzok firing) was a decisive step in the right direction in correcting the wrongs committed by wh… https://t.co/QsoROaeb5k,0.4588,0.0,0.818,0.182
57,@realDonaldTrump,Wed Aug 15 14:08:18 +0000 2018,The Rigged Russian Witch Hunt goes on and on as the “originators and founders” of this scam continue to be fired an… https://t.co/CO0Evnrqr0,-0.9182,0.406,0.594,0.0
58,@realDonaldTrump,Wed Aug 15 13:51:12 +0000 2018,My friend and very early supporter Kris Kobach won the Republican Nomination for Governor of Kansas last night in a… https://t.co/6StiydBiqo,0.8511,0.0,0.66,0.34
59,@realDonaldTrump,Wed Aug 15 13:39:35 +0000 2018,It is about time that Connecticut had a real and talented Governor. Bob Stefanowski is the person needed to do the… https://t.co/xxr30tzZmd,0.5106,0.0,0.858,0.142
60,@realDonaldTrump,Wed Aug 15 13:31:30 +0000 2018,".@PeteStauber won big last night in Minnesota. A big star in Hockey, he will be an even bigger star in politics. It… https://t.co/pS0Mo9hDHy",0.5719,0.0,0.85,0.15
61,@realDonaldTrump,Wed Aug 15 13:18:43 +0000 2018,“People who enter the United States without our permission are illegal aliens and illegal aliens should not be trea… https://t.co/8Ebzu7AUBH,-0.6597,0.267,0.63,0.104
62,@realDonaldTrump,Wed Aug 15 13:14:19 +0000 2018,"Congratulations to Bryan Steil on a wonderful win last night. You will be replacing a great guy in Paul Ryan, and y… https://t.co/SnjmyzSwDz",0.9477,0.0,0.523,0.477
63,@realDonaldTrump,Wed Aug 15 13:12:48 +0000 2018,Jeff Johnson of Minnesota had a big night in winning the Republican nomination for Governor against a very strong a… https://t.co/4sRK3Q339u,0.7902,0.0,0.709,0.291
64,@realDonaldTrump,Wed Aug 15 13:07:05 +0000 2018,Scott Walker is very special and will have another great win in November. He has done a fantastic job as Governor o… https://t.co/aEry7wZHt6,0.9381,0.0,0.554,0.446
65,@realDonaldTrump,Wed Aug 15 12:54:11 +0000 2018,Congratulations to Leah Vukmir of Wisconsin on your great win last night. You beat a very tough and good competitor… https://t.co/EjrACCt3qx,0.9345,0.056,0.472,0.471
66,@realDonaldTrump,Wed Aug 15 12:30:38 +0000 2018,Great Republican election results last night. So far we have the team we want. 8 for 9 in Special Elections. Red Wave!,0.8122,0.0,0.67,0.33
